,latitude,longitude
10104,25.0,95.0
10105,25.0,95.25
10106,25.0,95.5
10107,25.0,95.75
10108,25.0,96.0
10109,25.0,96.25
10110,25.0,96.5
10111,25.0,96.75
10112,25.0,97.0
10113,25.0,97.25
10114,25.0,97.5
10115,25.0,97.75
10116,25.0,98.0
10218,25.25,89.75
10219,25.25,90.0
10220,25.25,90.25
10221,25.25,90.5
10222,25.25,90.75
10223,25.25,91.0
10224,25.25,91.25
10225,25.25,91.5
10226,25.25,91.75
10227,25.25,92.0
10228,25.25,92.25
10229,25.25,92.5
10230,25.25,92.75
10231,25.25,93.0
10232,25.25,93.25
10233,25.25,93.5
10234,25.25,93.75
10235,25.25,94.0
10236,25.25,94.25
10237,25.25,94.5
10238,25.25,94.75
10239,25.25,95.0
10240,25.25,95.25
10241,25.25,95.5
10242,25.25,95.75
10243,25.25,96.0
10244,25.25,96.25
10245,25.25,96.5
10246,25.25,96.75
10247,25.25,97.0
10248,25.25,97.25
10249,25.25,97.5
10250,25.25,97.75
10251,25.25,98.0
10353,25.5,89.75
10354,25.5,90.0
10355,25.5,90.25
10356,25.5,90.5
10357,25.5,90.75
10358,25.5,91.0
10359,25.5,91.25
10360,25.5,91.5
10361,25.5,91.75
10362,25.5,92.0
10363,25.5,92.25
10364,25.5,92.5
10365,25.5,92.75
10366,25.5,93.0
10367,25.5,93.25
10368,25.5,93.5
10369,25.5,93.75
10370,25.5,94.0
10371,25.5,94.25
10372,25.5,94.5
10373,25.5,94.75
10374,25.5,95.0
10375,25.5,95.25
10376,25.5,95.5
10377,25.5,95.75
10378,25.5,96.0
10379,25.5,96.25
10380,25.5,96.5
10381,25.5,96.75
10382,25.5,97.0
10383,25.5,97.25
10384,25.5,97.5
10385,25.5,97.75
10386,25.5,98.0
10488,25.75,89.75
10489,25.75,90.0
10490,25.75,90.25
10491,25.75,90.5
10492,25.75,90.75
10493,25.75,91.0
10494,25.75,91.25
10495,25.75,91.5
10496,25.75,91.75
10497,25.75,92.0
10498,25.75,92.25
10499,25.75,92.5
10500,25.75,92.75
10501,25.75,93.0
10502,25.75,93.25
10503,25.75,93.5
10504,25.75,93.75
10505,25.75,94.0
10506,25.75,94.25
10507,25.75,94.5
10508,25.75,94.75
10509,25.75,95.0
10510,25.75,95.25
10511,25.75,95.5
10512,25.75,95.75
10513,25.75,96.0
10514,25.75,96.25
10515,25.75,96.5
10516,25.75,96.75
10517,25.75,97.0
10518,25.75,97.25
10519,25.75,97.5
10520,25.75,97.75
10521,25.75,98.0
10623,26.0,89.75
10624,26.0,90.0
10625,26.0,90.25
10626,26.0,90.5
10627,26.0,90.75
10628,26.0,91.0
10629,26.0,91.25
10630,26.0,91.5
10631,26.0,91.75
10632,26.0,92.0
10633,26.0,92.25
10634,26.0,92.5
10635,26.0,92.75
10636,26.0,93.0
10637,26.0,93.25
10638,26.0,93.5
10639,26.0,93.75
10640,26.0,94.0
10641,26.0,94.25
10642,26.0,94.5
10643,26.0,94.75
10644,26.0,95.0
10645,26.0,95.25
10646,26.0,95.5
10647,26.0,95.75
10648,26.0,96.0
10649,26.0,96.25
10650,26.0,96.5
10651,26.0,96.75
10652,26.0,97.0
10653,26.0,97.25
10654,26.0,97.5
10655,26.0,97.75
10656,26.0,98.0
10758,26.25,89.75
10759,26.25,90.0
10760,26.25,90.25
10761,26.25,90.5
10762,26.25,90.75
10763,26.25,91.0
10764,26.25,91.25
10765,26.25,91.5
10766,26.25,91.75
10767,26.25,92.0
10768,26.25,92.25
10769,26.25,92.5
10770,26.25,92.75
10771,26.25,93.0
10772,26.25,93.25
10773,26.25,93.5
10774,26.25,93.75
10775,26.25,94.0
10776,26.25,94.25
10777,26.25,94.5
10778,26.25,94.75
10779,26.25,95.0
10780,26.25,95.25
10781,26.25,95.5
10782,26.25,95.75
10783,26.25,96.0
10784,26.25,96.25
10785,26.25,96.5
10786,26.25,96.75
10787,26.25,97.0
10788,26.25,97.25
10789,26.25,97.5
10790,26.25,97.75
10791,26.25,98.0
10893,26.5,89.75
10894,26.5,90.0
10895,26.5,90.25
10896,26.5,90.5
10897,26.5,90.75
10898,26.5,91.0
10899,26.5,91.25
10900,26.5,91.5
10901,26.5,91.75
10902,26.5,92.0
10903,26.5,92.25
10904,26.5,92.5
10905,26.5,92.75
10906,26.5,93.0
10907,26.5,93.25
10908,26.5,93.5
10909,26.5,93.75
10910,26.5,94.0
10911,26.5,94.25
10912,26.5,94.5
10913,26.5,94.75
10914,26.5,95.0
10915,26.5,95.25
10916,26.5,95.5
10917,26.5,95.75
10918,26.5,96.0
10919,26.5,96.25
10920,26.5,96.5
10921,26.5,96.75
10922,26.5,97.0
10923,26.5,97.25
10924,26.5,97.5
10925,26.5,97.75
10926,26.5,98.0
11028,26.75,89.75
11029,26.75,90.0
11030,26.75,90.25
11031,26.75,90.5
11032,26.75,90.75
11033,26.75,91.0
11034,26.75,91.25
11035,26.75,91.5
11036,26.75,91.75
11037,26.75,92.0
11038,26.75,92.25
11039,26.75,92.5
11040,26.75,92.75
11041,26.75,93.0
11042,26.75,93.25
11043,26.75,93.5
11044,26.75,93.75
11045,26.75,94.0
11046,26.75,94.25
11047,26.75,94.5
11048,26.75,94.75
11049,26.75,95.0
11050,26.75,95.25
11051,26.75,95.5
11052,26.75,95.75
11053,26.75,96.0
11054,26.75,96.25
11055,26.75,96.5
11056,26.75,96.75
11057,26.75,97.0
11058,26.75,97.25
11059,26.75,97.5
11060,26.75,97.75
11061,26.75,98.0
11163,27.0,89.75
11164,27.0,90.0
11165,27.0,90.25
11166,27.0,90.5
11167,27.0,90.75
11168,27.0,91.0
11169,27.0,91.25
11170,27.0,91.5
11171,27.0,91.75
11172,27.0,92.0
11173,27.0,92.25
11174,27.0,92.5
11175,27.0,92.75
11176,27.0,93.0
11177,27.0,93.25
11178,27.0,93.5
11179,27.0,93.75
11180,27.0,94.0
11181,27.0,94.25
11182,27.0,94.5
11183,27.0,94.75
11184,27.0,95.0
11185,27.0,95.25
11186,27.0,95.5
11187,27.0,95.75
11188,27.0,96.0
11189,27.0,96.25
11190,27.0,96.5
11191,27.0,96.75
11192,27.0,97.0
11193,27.0,97.25
11194,27.0,97.5
11195,27.0,97.75
11196,27.0,98.0
11298,27.25,89.75
11299,27.25,90.0
11300,27.25,90.25
11301,27.25,90.5
11302,27.25,90.75
11303,27.25,91.0
11304,27.25,91.25
11305,27.25,91.5
11306,27.25,91.75
11307,27.25,92.0
11308,27.25,92.25
11309,27.25,92.5
11310,27.25,92.75
11311,27.25,93.0
11312,27.25,93.25
11313,27.25,93.5
11314,27.25,93.75
11315,27.25,94.0
11316,27.25,94.25
11317,27.25,94.5
11318,27.25,94.75
11319,27.25,95.0
11320,27.25,95.25
11321,27.25,95.5
11322,27.25,95.75
11323,27.25,96.0
11324,27.25,96.25
11325,27.25,96.5
11326,27.25,96.75
11327,27.25,97.0
11328,27.25,97.25
11329,27.25,97.5
11330,27.25,97.75
11331,27.25,98.0
11433,27.5,89.75
11434,27.5,90.0
11435,27.5,90.25
11436,27.5,90.5
11437,27.5,90.75
11438,27.5,91.0
11439,27.5,91.25
11440,27.5,91.5
11441,27.5,91.75
11442,27.5,92.0
11443,27.5,92.25
11444,27.5,92.5
11445,27.5,92.75
11446,27.5,93.0
11447,27.5,93.25
11448,27.5,93.5
11449,27.5,93.75
11450,27.5,94.0
11451,27.5,94.25
11452,27.5,94.5
11453,27.5,94.75
11454,27.5,95.0
11455,27.5,95.25
11456,27.5,95.5
11457,27.5,95.75
11458,27.5,96.0
11459,27.5,96.25
11460,27.5,96.5
11461,27.5,96.75
11462,27.5,97.0
11463,27.5,97.25
11464,27.5,97.5
11465,27.5,97.75
11466,27.5,98.0
11568,27.75,89.75
11569,27.75,90.0
11570,27.75,90.25
11571,27.75,90.5
11572,27.75,90.75
11573,27.75,91.0
11574,27.75,91.25
11575,27.75,91.5
11576,27.75,91.75
11577,27.75,92.0
11578,27.75,92.25
11579,27.75,92.5
11580,27.75,92.75
11581,27.75,93.0
11582,27.75,93.25
11583,27.75,93.5
11584,27.75,93.75
11585,27.75,94.0
11586,27.75,94.25
11587,27.75,94.5
11588,27.75,94.75
11589,27.75,95.0
11590,27.75,95.25
11591,27.75,95.5
11592,27.75,95.75
11593,27.75,96.0
11594,27.75,96.25
11595,27.75,96.5
11596,27.75,96.75
11597,27.75,97.0
11598,27.75,97.25
11599,27.75,97.5
11600,27.75,97.75
11601,27.75,98.0
11703,28.0,89.75
11704,28.0,90.0
11705,28.0,90.25
11706,28.0,90.5
11707,28.0,90.75
11708,28.0,91.0
11709,28.0,91.25
11710,28.0,91.5
11711,28.0,91.75
11712,28.0,92.0
11713,28.0,92.25
11714,28.0,92.5
11715,28.0,92.75
11716,28.0,93.0
11717,28.0,93.25
11718,28.0,93.5
11719,28.0,93.75
11720,28.0,94.0
11721,28.0,94.25
11722,28.0,94.5
11723,28.0,94.75
11724,28.0,95.0
11725,28.0,95.25
11726,28.0,95.5
11727,28.0,95.75
11728,28.0,96.0
11729,28.0,96.25
11730,28.0,96.5
11731,28.0,96.75
11732,28.0,97.0
11733,28.0,97.25
11734,28.0,97.5
11735,28.0,97.75
11736,28.0,98.0
11838,28.25,89.75
11839,28.25,90.0
11840,28.25,90.25
11841,28.25,90.5
11842,28.25,90.75
11843,28.25,91.0
11844,28.25,91.25
11845,28.25,91.5
11846,28.25,91.75
11847,28.25,92.0
11848,28.25,92.25
11849,28.25,92.5
11850,28.25,92.75
11851,28.25,93.0
11852,28.25,93.25
11853,28.25,93.5
11854,28.25,93.75
11855,28.25,94.0
11856,28.25,94.25
11857,28.25,94.5
11858,28.25,94.75
11859,28.25,95.0
11860,28.25,95.25
11861,28.25,95.5
11862,28.25,95.75
11863,28.25,96.0
11864,28.25,96.25
11865,28.25,96.5
11866,28.25,96.75
11867,28.25,97.0
11868,28.25,97.25
11869,28.25,97.5
11870,28.25,97.75
11871,28.25,98.0
11973,28.5,89.75
11974,28.5,90.0
11975,28.5,90.25
11976,28.5,90.5
11977,28.5,90.75
11978,28.5,91.0
11979,28.5,91.25
11980,28.5,91.5
11981,28.5,91.75
11982,28.5,92.0
11983,28.5,92.25
11984,28.5,92.5
11985,28.5,92.75
11986,28.5,93.0
11987,28.5,93.25
11988,28.5,93.5
11989,28.5,93.75
11990,28.5,94.0
11991,28.5,94.25
11992,28.5,94.5
11993,28.5,94.75
11994,28.5,95.0
11995,28.5,95.25
11996,28.5,95.5
11997,28.5,95.75
11998,28.5,96.0
11999,28.5,96.25
12000,28.5,96.5
12001,28.5,96.75
12002,28.5,97.0
12003,28.5,97.25
12004,28.5,97.5
12005,28.5,97.75
12006,28.5,98.0
12108,28.75,89.75
12109,28.75,90.0
12110,28.75,90.25
12111,28.75,90.5
12112,28.75,90.75
12113,28.75,91.0
12114,28.75,91.25
12115,28.75,91.5
12116,28.75,91.75
12117,28.75,92.0
12118,28.75,92.25
12119,28.75,92.5
12120,28.75,92.75
12121,28.75,93.0
12122,28.75,93.25
12123,28.75,93.5
12124,28.75,93.75
12125,28.75,94.0
12126,28.75,94.25
12127,28.75,94.5
12128,28.75,94.75
12129,28.75,95.0
12130,28.75,95.25
12131,28.75,95.5
12132,28.75,95.75
12133,28.75,96.0
12134,28.75,96.25
12135,28.75,96.5
12136,28.75,96.75
12137,28.75,97.0
12138,28.75,97.25
12139,28.75,97.5
12140,28.75,97.75
12141,28.75,98.0
12243,29.0,89.75
12244,29.0,90.0
12245,29.0,90.25
12246,29.0,90.5
12247,29.0,90.75
12248,29.0,91.0
12249,29.0,91.25
12250,29.0,91.5
12251,29.0,91.75
12252,29.0,92.0
12253,29.0,92.25
12254,29.0,92.5
12255,29.0,92.75
12256,29.0,93.0
12257,29.0,93.25
12258,29.0,93.5
12259,29.0,93.75
12260,29.0,94.0
12261,29.0,94.25
12262,29.0,94.5
12263,29.0,94.75
12264,29.0,95.0
12265,29.0,95.25
12266,29.0,95.5
12267,29.0,95.75
12268,29.0,96.0
12269,29.0,96.25
12270,29.0,96.5
12271,29.0,96.75
12272,29.0,97.0
12273,29.0,97.25
12274,29.0,97.5
12275,29.0,97.75
12276,29.0,98.0
12378,29.25,89.75
12379,29.25,90.0
12380,29.25,90.25
12381,29.25,90.5
12382,29.25,90.75
12383,29.25,91.0
12384,29.25,91.25
12385,29.25,91.5
12386,29.25,91.75
12387,29.25,92.0
12388,29.25,92.25
12389,29.25,92.5
12390,29.25,92.75
12391,29.25,93.0
12392,29.25,93.25
12393,29.25,93.5
12394,29.25,93.75
12395,29.25,94.0
12396,29.25,94.25
12397,29.25,94.5
12398,29.25,94.75
12399,29.25,95.0
12400,29.25,95.25
12401,29.25,95.5
12402,29.25,95.75
12403,29.25,96.0
12404,29.25,96.25
12405,29.25,96.5
12406,29.25,96.75
12407,29.25,97.0
12408,29.25,97.25
12409,29.25,97.5
12410,29.25,97.75
12411,29.25,98.0
12513,29.5,89.75
12514,29.5,90.0
12515,29.5,90.25
12516,29.5,90.5
12517,29.5,90.75
12518,29.5,91.0
12519,29.5,91.25
12520,29.5,91.5
12521,29.5,91.75
12522,29.5,92.0
12523,29.5,92.25
12524,29.5,92.5
12525,29.5,92.75
12526,29.5,93.0
12527,29.5,93.25
12528,29.5,93.5
12529,29.5,93.75
12530,29.5,94.0
12531,29.5,94.25
12532,29.5,94.5
12533,29.5,94.75
12534,29.5,95.0
12535,29.5,95.25
12536,29.5,95.5
12537,29.5,95.75
12538,29.5,96.0
12539,29.5,96.25
12540,29.5,96.5
12541,29.5,96.75
12542,29.5,97.0
12543,29.5,97.25
12544,29.5,97.5
12545,29.5,97.75
12546,29.5,98.0
12648,29.75,89.75
12649,29.75,90.0
12650,29.75,90.25
12651,29.75,90.5
12652,29.75,90.75
12653,29.75,91.0
12654,29.75,91.25
12655,29.75,91.5
12656,29.75,91.75
12657,29.75,92.0
12658,29.75,92.25
12659,29.75,92.5
12660,29.75,92.75
12661,29.75,93.0
12662,29.75,93.25
12663,29.75,93.5
12664,29.75,93.75
12665,29.75,94.0
12666,29.75,94.25
12667,29.75,94.5
12668,29.75,94.75
12669,29.75,95.0
12670,29.75,95.25
12671,29.75,95.5
12672,29.75,95.75
12673,29.75,96.0
12674,29.75,96.25
12675,29.75,96.5
12676,29.75,96.75
12677,29.75,97.0
12678,29.75,97.25
12679,29.75,97.5
12680,29.75,97.75
12681,29.75,98.0
12783,30.0,89.75
12784,30.0,90.0
12785,30.0,90.25
12786,30.0,90.5
12787,30.0,90.75
12788,30.0,91.0
12789,30.0,91.25
12790,30.0,91.5
12791,30.0,91.75
12792,30.0,92.0
12793,30.0,92.25
12794,30.0,92.5
12795,30.0,92.75
12796,30.0,93.0
12797,30.0,93.25
12798,30.0,93.5
12799,30.0,93.75
12800,30.0,94.0
12801,30.0,94.25
12802,30.0,94.5
12803,30.0,94.75
12804,30.0,95.0
12805,30.0,95.25
12806,30.0,95.5
12807,30.0,95.75
12808,30.0,96.0
12809,30.0,96.25
12810,30.0,96.5
12811,30.0,96.75
12812,30.0,97.0
12813,30.0,97.25
12814,30.0,97.5
12815,30.0,97.75
12816,30.0,98.0
